customer_id,first_name,last_name,email,phone,birth_date,gender,address,region_id,customer_type,registration_date,last_login,is_active,total_spent,created_at
1,Christopher,Mills,qismoilov@example.net,980.412.5314x28347,1956-06-29,Female,"694 Davis Run Suite 784
Bushshire, OR 29117",10,Premium,2025-08-22,2025-09-16T05:41:07.361253,1,169732973.289607,"2025-09-16 10:41:01"
2,Javohir,Durdonova,samandarovmiran@example.org,"+998 73 904 57 16",1970-09-04,Male,"425 Zahro River Apt. 848
Lake Boburland, TX 26514",10,Premium,2025-06-15,2025-08-31T22:51:41.822489,1,35909921.7629545,"2025-09-16 10:41:01"
3,Osiyo,Gallagher,michaelfields@example.net,+1-488-492-1145x570,1997-12-18,Female,"42159 Kimberly Dale
Myersland, AR 66473",13,Regular,2024-09-19,2024-10-12T22:39:00.168089,1,103055026.176346,"2025-09-16 10:41:01"
4,Osiyo,Wright,rochavictor@example.net,648-717-0022x81575,1992-05-10,Female,"25799 Fariz Mountains
Oyshayevaton, GA 76037",4,VIP,2023-11-01,2025-01-14T10:30:16.255831,1,144986982.528395,"2025-09-16 10:41:01"
5,Tamara,Mcclure,mmahmudov@example.com,"+998 (80) 811-3989",2007-06-30,Female,"52565 Muhammadaliyev Squares
Farhodland, PR 14045",8,Regular,2024-01-03,2025-09-11T11:42:17.306175,1,159373052.694302,"2025-09-16 10:41:01"
6,Michael,Osiyeva,neverett@example.net,(563)211-8438x620,1960-03-10,Male,"82809 Javohir Mill
Muzayyanaton, MA 74824",2,VIP,2023-10-30,2024-01-24T00:06:57.423675,1,172728614.573806,"2025-09-16 10:41:01"
7,James,Farizayeva,mubinovaodina@example.org,"+998 24 321-14-86",1960-08-19,Female,"2903 Sadia Manor
Malikovafurt, FM 06960",2,Premium,2023-08-30,2025-01-25T23:17:41.618905,1,143628275.265751,"2025-09-16 10:41:01"
8,Elif,James,diyorovshahzoda@example.org,"+998 (99) 010-88-91",2004-03-07,Male,"125 Muhammadsolih Isle Apt. 276
Iforaburgh, OR 33941",5,VIP,2024-05-09,2025-02-07T17:42:55.793246,1,408695568.243969,"2025-09-16 10:41:01"
9,Pamela,Bilolov,halidovmustafo@example.com,9272504466,2002-04-07,Female,"8661 Kelly Burg
North Jamesside, TX 51249",6,Regular,2023-01-08,2024-09-19T10:12:26.363233,1,178443362.244078,"2025-09-16 10:41:01"
10,Lauren,Medina,rayyonovajasur@example.com,4528005177,1970-05-14,Female,"309 Ansorova Inlet Apt. 654
West Maftunaburgh, FM 86463",3,VIP,2025-03-21,2025-08-02T12:15:52.933264,1,349768785.059671,"2025-09-16 10:41:01"
11,Jessica,Bates,msantos@example.org,238-764-6594,1968-03-25,Male,"34590 Thomas Drive Suite 116
Davisview, IA 82414",12,Regular,2023-01-30,2024-05-12T01:06:26.188766,1,147336533.194943,"2025-09-16 10:41:01"
12,Gabriel,Dalerov,gmoore@example.net,+998723799780,1998-11-30,Male,"1116 Akobir Canyon
Muizzovaville, GU 53301",2,VIP,2024-06-09,2024-11-08T04:58:17.993703,1,11053265.9258382,"2025-09-16 10:41:01"
