talaba_id,ism,yosh,kurs,fakultet,gpa,shahar,stipendiya
101,Ali Abdullayev,19,2,Informatika,3.8,Toshkent,Ha
102,Kamila Nazarova,20,3,Iqtisod,3.9,Samarqand,Ha
103,Davron Karimov,18,1,Muhandislik,3.2,Buxoro,Yo'q
104,Nilufar Yusupova,21,4,Informatika,3.95,Andijon,Ha
105,Sardor Alimov,19,2,Moliya,3.5,Namangan,Yo'q
106,Gulnora Rahimova,20,3,Informatika,3.7,Farg'ona,Ha
107,Jasur Toshmatov,22,4,Iqtisod,3.85,Nukus,Ha
108,Mubina Sadiqova,18,1,Muhandislik,3.3,Urganch,Yo'q
109,Aziz Hakimov,19,2,Informatika,3.65,Termiz,Ha
110,Dildora Valiyeva,21,4,Moliya,3.92,Qo'qon,Ha
111,Bekzod Ergashev,20,3,Informatika,3.4,Toshkent,Yo'q
112,Shoira Mirzayeva,19,2,Iqtisod,3.75,Samarqand,Ha
113,Otabek Normatov,18,1,Muhandislik,3.1,Buxoro,Yo'q
114,Feruza Ismoilova,22,4,Informatika,3.88,Andijon,Ha
115,Jamshid Qodirov,20,3,Moliya,3.6,Namangan,Ha
116,Zarina Aminova,19,2,Informatika,3.72,Farg'ona,Ha
117,Rustam Muhammadov,21,4,Iqtisod,3.83,Nukus,Ha
118,Malika Raimova,18,1,Muhandislik,3.25,Urganch,Yo'q
119,Akmal Saidov,20,3,Informatika,3.55,Termiz,Yo'q
120,Nargiza Abdullayeva,19,2,Moliya,3.78,Qo'qon,Ha
