ID,Ism,Yosh,Jins,Bo'lim,Lavozim,Ish_Tajribasi,Maosh,Shahar,Email
1,Dildora,44.0,Erkak,Marketing,Manager,4.0,16423442.0,Namangan,user1@company.uz
2,Malika,49.0,Ayol,IT,Junior,13.0,6599865.0,Namangan,user2@company.uz
3,Gulnora,46.0,Erkak,IT,Manager,,25159503.0,,user3@company.uz
4,Shoira,29.0,Erkak,Finance,Senior,14.0,16456244.0,Buxoro,user4@company.uz
5,Jasur,42.0,Ayol,Marketing,Lead,16.0,27767556.0,Farg'ona,user5@company.uz
6,Gulnora,37.0,Ayol,Sales,Junior,13.0,,Namangan,user6@company.uz
7,Nigora,34.0,Ayol,Marketing,Lead,,6772811.0,Farg'ona,user7@company.uz
8,Dildora,39.0,Ayol,Finance,Manager,4.0,5317336.0,Buxoro,user8@company.uz
9,Kamol,36.0,Ayol,Finance,Manager,11.0,,Buxoro,user9@company.uz
10,Sardor,42.0,Ayol,Marketing,Junior,15.0,10689684.0,Farg'ona,user10@company.uz
11,Dildora,45.0,Ayol,Finance,Senior,15.0,,Toshkent,user11@company.uz
12,Shoira,47.0,Ayol,,Middle,6.0,,Samarqand,user12@company.uz
13,Shoira,46.0,Erkak,HR,Junior,3.0,13808470.0,,user13@company.uz
14,Jasur,49.0,Ayol,Marketing,Middle,0.0,3197775.0,Toshkent,user14@company.uz
15,Nigora,49.0,Ayol,Marketing,Middle,4.0,5386488.0,,user15@company.uz
16,Malika,49.0,Erkak,Finance,,9.0,20564710.0,Namangan,user16@company.uz
17,Jasur,34.0,Ayol,Finance,Middle,,25628460.0,Buxoro,user17@company.uz
18,Jasur,30.0,Erkak,IT,Middle,3.0,8332660.0,Toshkent,user18@company.uz
19,Sardor,36.0,Erkak,IT,Senior,1.0,12589801.0,Buxoro,user19@company.uz
20,Aziz,34.0,Ayol,HR,Middle,19.0,26614649.0,Farg'ona,user20@company.uz
21,Nigora,22.0,Erkak,IT,Middle,9.0,15331942.0,Samarqand,user21@company.uz
22,Vali,46.0,Erkak,Marketing,Middle,18.0,19079245.0,Farg'ona,user22@company.uz
23,Jasur,28.0,Erkak,Finance,Junior,0.0,14398366.0,Farg'ona,user23@company.uz
24,Anvar,30.0,Erkak,IT,Junior,4.0,8083769.0,Namangan,user24@company.uz
25,Bobur,45.0,Ayol,IT,Junior,12.0,20310852.0,Samarqand,user25@company.uz
26,Aziz,22.0,Erkak,HR,Senior,3.0,14426978.0,Farg'ona,user26@company.uz
27,Vali,33.0,Ayol,HR,Manager,15.0,24009622.0,Farg'ona,user27@company.uz
28,Anvar,29.0,Erkak,Marketing,,15.0,14624266.0,Samarqand,user28@company.uz
29,Nigora,45.0,Erkak,Finance,Middle,1.0,13164811.0,Samarqand,user29@company.uz
30,Ali,32.0,Erkak,HR,Senior,16.0,5276360.0,Farg'ona,user30@company.uz
31,Anvar,40.0,Erkak,IT,Middle,19.0,18883337.0,Samarqand,user31@company.uz
32,Kamol,38.0,Ayol,,Junior,11.0,7408249.0,Farg'ona,user32@company.uz
33,Aziz,29.0,Ayol,Finance,Manager,17.0,7426219.0,Farg'ona,user33@company.uz
34,Gulnora,24.0,Erkak,IT,Lead,,13923237.0,Namangan,user34@company.uz
35,Anvar,24.0,Erkak,HR,Middle,0.0,28691654.0,Toshkent,user35@company.uz
36,Zarina,22.0,Ayol,IT,,0.0,21109613.0,Farg'ona,user36@company.uz
37,Ali,48.0,Erkak,Finance,Lead,18.0,,Buxoro,user37@company.uz
38,Shoira,26.0,Erkak,Sales,Manager,10.0,19434343.0,Toshkent,user38@company.uz
39,Shoira,31.0,Erkak,Sales,Lead,4.0,13524841.0,,user39@company.uz
